Direccion,Barrio,Latitud,Longitud,Tipo_vivienda,Dproymes,Localidad,Cod_proyecto,Proyecto
Cr. 14 # 117-14,Santa Bárbara,4.69682497414964,-74.0405184093077,No VIS,11,Usaquén,31849,Sakura
Cr. 19A # 86A-16,Antiguo Country,4.67300000041723,-74.0571999996901,No VIS,2,Chapinero,31850,Kubik Virrey IV
Cr. 11 # 93A-38,Chicó,4.67603929314866,-74.0463882787626,No VIS,7,Chapinero,31851,Canvas
Cl. 153 # 103B-76,Suba Salitre,4.75451843609275,-74.0917075274981,No VIS,5,Suba,31854,Pinar Plaza
Cl. 126A # 7C-37,Santa Bárbara,4.70218144334549,-74.0318918094635,No VIS,2,Usaquén,31856,NT Tower
Cl. 101 # 16-47,San Patricio,4.6862757076364,-74.0495653302246,No VIS,2,Usaquén,31857,Equilibrium 101 +
Cr. 7 # 155-80,Barrancas,4.73074354779865,-74.0231799898361,No VIS,14,Usaquén,31860,North Point House
Cr. 20 # 120-50,Santa Bárbara,4.7014203851299,-74.050933050034,No VIS,1,Usaquén,31861,Vìú Park +
Cl. 134Bis # 17-62,Contador,4.71810000017285,-74.0453000003472,No VIS,7,Usaquén,31862,Country 134
Cl. 102A # 46-12,Santa Margarita,4.68958255192836,-74.0584409657694,No VIS,3,Suba,31863,Rigel +
Cl. 128 # 7E- 40,Bella Suiza,4.70979999937117,-74.0323999999091,No VIS,6,Usaquén,31865,Catalonia en Bella Suiza ..
Cl. 104A # 47A-06,Santa Margarita,4.69244394220879,-74.0589127041517,No VIS,4,Suba,31866,Essena Park +
Cr. 52 # 106-74,Pasadena,4.6952999997884,-74.061999999918,No VIS,1,Suba,31867,Vival Pasadena 52
Cr. 16A # 86A-79,Antiguo Country,4.6726994418845,-74.0552429168248,No VIS,1,Chapinero,31869,Virrey 86A
Cr. 7ABis # 124-60,Santa Bárbara,4.7007999997586,-74.0299000004306,No VIS,4,Usaquén,31870,Studio 124 Home Office
Cr. 7A # 130-47,Bella Suiza,4.70894202718456,-74.0294373958781,No VIS,12,Usaquén,31871,Orbba 130
Cl. 137B # 104-35,Suba,4.74060740631246,-74.0992002313609,No VIS,2,Suba,31873,Ikará
Cr. 7B # 124-40,Santa Bárbara,4.7006890518327,-74.0307678113129,No VIS,3,Usaquén,31874,Modena 124 +
Cl. 80 # 7-29,Cabrera,4.66200000047684,-74.0500999996439,No VIS,2,Chapinero,31875,Neos Nogal ..
Cl. 108 # 17A-18,San Patricio,4.69355182126732,-74.0482839683682,No VIS,6,Usaquén,31877,Kausary
Cl. 134C # 12B-36,Lisboa,4.71637052094712,-74.0405926687051,No VIS,16,Usaquén,31879,Antique Reservado
Cr. 15A # 124-22,Santa Bárbara,4.70236833586404,-74.0434722008069,No VIS,6,Usaquén,31880,Buonvivere 124..
Cr. 22 # 137-71,Nueva Autopista,4.72330000065267,-74.0493999999017,No VIS,8,Usaquén,31881,Area 137
Cr. 17A # 122-97,Santa Bárbara,4.70228036253492,-74.0463244407986,No VIS,3,Usaquén,31883,Venetto
Cr. 19 # 93-53,Chicó,4.67870000004768,-74.0547000002116,No VIS,10,Chapinero,31886,Macedonia
Cl. 108 # 17A-45,San Patricio,4.69383372132209,-74.0481591506676,No VIS,7,Usaquén,31889,108 Green Park
Cl. 134A # 10A-11,Lisboa,4.71687250450766,-74.0368813336465,No VIS,2,Usaquén,31894,Dika
Cr. 16 # 136-60,Contador,4.71871724215306,-74.0445182106368,No VIS,3,Usaquén,31895,Black 136
Cr. 51 # 103B-24,Pasadena,4.69189999997616,-74.0619000000879,No VIS,1,Suba,31897,Portal 51 ..
Cl. 95 # 20-28,Chicó,4.68245462560413,-74.0549146434747,No VIS,27,Chapinero,31904,Casa Chicó
Cr. 21 # 118-34,Santa Bárbara,4.70044471235427,-74.0502984875165,No VIS,1,Usaquén,31907,Edificio Calabria
Cr. 19A # 134-55,Nueva Autopista,4.71894208148235,-74.0482380745227,No VIS,5,Usaquén,31909,Dual 134 House
Cr. 18 # 93A-18,Chicó,4.67888916273384,-74.053365003378,No VIS,4,Chapinero,31911,Balcony 93-18
Cr. 19B # 85-63,Antiguo Country,4.67261491170617,-74.0582237169,No VIS,5,Chapinero,31915,D.C.
Cl. 135C # 13-40,Lisboa,4.7187577381744,-74.0411443482292,No VIS,2,Usaquén,31917,Kauri 135
Tv. 5 # 87-42,Rosales,4.66709999926388,-74.0449000000954,No VIS,6,Chapinero,31922,Ed. Porta 87..
Cl. 82 # 6-13,Rosales,4.66239999979734,-74.0483999997377,No VIS,4,Chapinero,31923,Antia
Cr. 7B # 146-20,Belmira,4.7221000008285,-74.0281999995932,No VIS,4,Usaquén,31924,Novo 146
Tv. 21 # 122-81,Santa Bárbara,4.70380000025034,-74.0515999998897,No VIS,12,Usaquén,31926,Balcones de Jericó
